date,iaq,electrosmog_lf,wifi_level,wifi_n,temperature,humidity,air_pressure,ambient_light,tvoc,co2,co2e,pm10,pm25,sound,electrosmog_hf,device_id,ext_temperature,ext_humidity,ext_wind,ext_pressure,ext_weather
2020-04-18,59.88586207,162.462069,-35.54482759,19.15172414,24.56551724,44.73413793,1017.315862,192.0631034,88.80689655,430.8172414,986.5586207,10.70344828,9.703448276,42.44034483,1.217241379,219,16,85,7,1018,nebbia 
2020-04-19,67.32793103,163.7172414,-35.45517241,19.0862069,24.60793103,46.26896552,1012.943103,187.897931,26.8,429.4689655,579.1206897,11.93103448,10.93103448,41.27068966,1.223793103,219,17,80,8,1014,sole
2020-04-20,66.13024055,166.1649485,-36.42955326,19.05498282,24.1419244,51.26563574,1006.667698,179.3931271,44.395189,443.4914089,694.9965636,12.3814433,11.3814433,43.21443299,1.184879725,219,17,85,12,1006,pioggia 
2020-04-21,71.94368601,166.3890785,-36.39931741,19.91467577,24.1996587,50.5112628,1004.305802,185.9061433,55.65187713,443.2150171,768.4846416,10.32081911,9.320819113,43.06928328,1.236860068,219,17,81,10,1005,pioggia nebbia 
2020-04-22,57.71027397,167.9554795,-36.24315068,20.96917808,23.35410959,49.70034247,1009.459589,180.9023973,43.87328767,435.6541096,691.3732877,9.715753425,8.715753425,43.1510274,1.212328767,219,14,94,6,1010,pioggia 
2020-04-23,50.55223368,173.5841924,-36.49484536,19.9862543,23.60927835,48.08350515,1013.835052,197.5670103,45.60137457,428.7182131,702.5498282,11.66323024,10.59793814,43.63814433,1.263917526,219,16,80,9,1015,pioggia 
2020-04-24,47.00449827,170.1314879,-35.96885813,20.46366782,24.35155709,43.76401384,1014.175087,204.9608997,20.32525952,427.0657439,537.0968858,11.19723183,10.19723183,42.75259516,1.32283737,219,17,70,9,1015,sole
2020-04-25,55.80721649,171.3230241,-36.10652921,19.89690722,24.35429553,42.33780069,1011.571821,202.7542955,20.09278351,421.766323,535.1958763,12.26460481,11.26460481,42.06701031,1.303092784,219,17,68,9,1012,sole
2020-04-26,58.4916955,170.0034602,-36.12456747,19.82698962,24.44567474,39.57750865,1009.895848,204.1816609,27.03114187,423.4878893,580.7474048,10.11418685,9.114186851,41.7567474,1.278892734,219,17,57,9,1011,sole
2020-04-27,70.95034483,171.5,-36.43103448,19.45517241,24.9637931,41.04344828,1012.555517,206.8258621,53.22413793,441.0724138,752.7172414,10.91724138,9.917241379,42.50724138,1.283448276,219,16,72,8,1014,sole
2020-04-28,64.08281787,168.1408935,-36.08934708,19.41237113,24.8161512,46.21202749,1012.353952,193.0415808,53.3161512,433.1443299,753.3024055,11.70790378,10.70790378,42.42371134,1.342955326,219,17,76,17,1013,pioggia 
2020-04-29,70.06816609,166.4809689,-35.91349481,19.76124567,24.04636678,46.98269896,1010.83045,200.2352941,42.37024221,421.6885813,681.3737024,10.57093426,9.570934256,42.79100346,1.326297578,219,17,77,14,1012,pioggia 
2020-04-30,56.61344828,171.0517241,-36.84137931,20.15862069,24.39,41.75172414,1012.320345,200.7765517,39.57241379,430.6482759,662.9517241,10.47931034,9.479310345,42.80103448,1.257586207,219,18,61,11,1014,sole
2020-05-01,93.6112628,171.78157,-36.78498294,20.40614334,24.60784983,43.85153584,1011.194198,194.1232082,69.22525597,411.7064846,857.8668942,9.849829352,8.849829352,41.92286689,1.166211604,219,19,62,16,1012,sole
2020-05-02,78.30243056,167.2256944,-36.77430556,19.07291667,25.45798611,44.61631944,1008.671528,204.8628472,93.53125,420.0520833,1017.277778,10.18055556,9.180555556,42.79270833,1.165972222,219,19,66,12,1010,sole
2020-05-03,85.52152778,165.8819444,-36.5,19.60069444,26.13159722,42.35069444,1010.012153,204.9180556,45.14583333,425.9201389,699.4861111,9.892361111,8.892361111,41.49583333,1.207291667,219,21,59,11,1012,sole
